Id,Identifies the type of dwelling involved in the sale.,Identifies the general zoning classification of the sale.,Linear feet of street connected to property,Lot size in square feet,Type of road access to property,Type of alley access to property,General shape of property,Flatness of the property,Type of utilities available,Lot configuration,Slope of property,Physical locations within Ames city limits,Proximity to various conditions,Proximity to various conditions (if more than one is present),Type of dwelling,Style of dwelling,Rates the overall material and finish of the house,Rates the overall condition of the house,Original construction date,Remodel date (same as construction date if no remodeling or additions),Type of roof,Roof material,Exterior covering on house,Exterior covering on house (if more than one material),Masonry veneer type,Masonry veneer area in square feet,Evaluates the quality of the material on the exterior,Evaluates the present condition of the material on the exterior,Type of foundation,Evaluates the height of the basement,Evaluates the general condition of the basement,Refers to walkout or garden level walls,Rating of basement finished area,Type 1 finished square feet,Rating of basement finished area (if multiple types),Type 2 finished square feet,Unfinished square feet of basement area,Total square feet of basement area,Type of heating,Heating quality and condition,Central air conditioning,Electrical system,First Floor square feet,Second floor square feet,Low quality finished square feet (all floors),Above grade (ground) living area square feet,Basement full bathrooms,Basement half bathrooms,Full bathrooms above grade,Half baths above grade,BedroomAbvGr,KitchenAbvGr,Kitchen quality,Total rooms above grade (does not include bathrooms),Home functionality (Assume typical unless deductions are warranted),Number of fireplaces,Fireplace quality,Garage location,Year garage was built,Interior finish of the garage,Size of garage in car capacity,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Wood deck area in square feet,Open porch area in square feet,Enclosed porch area in square feet,Three season porch area in square feet,Screen porch area in square feet,Pool area in square feet,Pool quality,Fence quality,Miscellaneous feature not covered in other categories,$Value of miscellaneous feature,Month Sold (MM),Year Sold (YYYY),Type of sale,Condition of sale,SalePrice
87,2-STORY 1946 & NEWER,Residential Low Density,122.0,11911,Paved,,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two story,Above Average,Average,2005,2005,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinshed,0,Unfinshed,0,684,684,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,684,876,0,1560,0,0,2,1,3,1,Good,6,Typical Functionality,1,Good - Masonry Fireplace in main level,Built-In (Garage part of house - typically has room above garage),2005.0,Finished,2,400,Typical/Average,Typical/Average,Paved,100,38,0,0,0,0,,,,0,3,2009,Warranty Deed - Conventional,Normal Sale,174000
1386,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,40.0,5436,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Below Average,Very Good,1922,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Good,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,735,Unfinshed,0,61,796,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,796,358,0,1154,1,0,1,0,3,1,Good,7,Typical Functionality,0,,Detached from home,1922.0,Unfinished,1,240,Typical/Average,Typical/Average,Dirt/Gravel,0,96,0,0,0,0,,Minimum Privacy,,0,5,2010,Warranty Deed - Conventional,Normal Sale,125500
266,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,78.0,12090,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,Above Average,Above Average,1981,1981,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,210.0,Average/Typical,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,588,Low Quality,228,606,1422,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1422,0,0,1422,0,0,2,0,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1981.0,Finished,2,576,Typical/Average,Typical/Average,Paved,276,0,0,0,0,0,,Good Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,175500
794,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,76.0,9158,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,Very Good,Average,2007,2007,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,Stone,140.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Unfinshed,0,Unfinshed,0,1496,1496,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1496,0,0,1496,0,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached to home,2007.0,Finished,2,474,Typical/Average,Typical/Average,Paved,168,130,0,0,0,0,,,,0,6,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),225000
1446,SPLIT FOYER,Residential Low Density,70.0,8400,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,Split Foyer,Above Average,Average,1966,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Low Quality,187,Average Rec Room,627,0,814,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,913,0,0,913,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,0,,Detached from home,1990.0,Unfinished,1,240,Typical/Average,Typical/Average,Paved,0,0,252,0,0,0,,,,0,5,2007,Warranty Deed - Conventional,Normal Sale,129000
809,SPLIT OR MULTI-LEVEL,Residential Low Density,85.0,13400,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,Split Level,Average,Average,1966,1966,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,1047.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Average Living Quarters,516,Below Average Living Quarters,128,380,1024,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1086,0,0,1086,1,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,1966.0,Rough Finished,2,484,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,Good Wood,,0,6,2006,Warranty Deed - Conventional,Normal Sale,159950
1100,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,82.0,11880,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Adjacent to North-South Railroad,Normal,Single-family Detached,One story,Good,Average,1978,1978,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,206.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Average Living Quarters,704,Unfinshed,0,567,1271,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1601,0,0,1601,0,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1978.0,Rough Finished,2,478,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,4,2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",157000
606,2-STORY 1946 & NEWER,Residential Low Density,85.0,13600,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,Two story,Good,Above Average,1965,1990,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,176.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,454,Unfinshed,0,314,768,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1186,800,0,1986,0,0,2,1,3,1,Typical/Average,7,Typical Functionality,3,Fair - Prefabricated Fireplace in basement,Attached to home,1965.0,Unfinished,2,486,Typical/Average,Typical/Average,Paved,0,42,0,0,189,0,,,,0,10,2009,Warranty Deed - Conventional,Normal Sale,205000
702,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80.0,9600,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,Good,Average,1969,1969,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,Brick Face,168.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1164,1164,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1164,0,0,1164,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,,Attached to home,1969.0,Unfinished,2,528,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,7,2006,Court Officer Deed/Estate,Normal Sale,140000
222,2-STORY 1946 & NEWER,Residential Low Density,,8068,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Normal,Normal,Single-family Detached,Two story,Above Average,Average,2002,2002,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1010,1010,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1010,1257,0,2267,0,0,2,1,4,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Built-In (Garage part of house - typically has room above garage),2002.0,Rough Finished,2,390,Typical/Average,Typical/Average,Paved,120,46,0,0,0,0,,,,0,12,2009,Contract Low Interest,Normal Sale,200000
114,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,21000,Paved,,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,One story,Above Average,Average,1953,1953,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,184.0,Average/Typical,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living Quarters,35,Average Rec Room,869,905,1809,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,2259,0,0,2259,1,0,2,0,3,1,Good,7,Typical Functionality,2,Good - Masonry Fireplace in main level,Basement Garage,1953.0,Unfinished,2,450,Typical/Average,Typical/Average,Paved,166,120,192,0,0,0,,Minimum Privacy,,0,10,2007,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",217000
549,1-STORY 1946 & NEWER ALL STYLES,Residential Medium Density,49.0,8235,Paved,,Slightly irregular,Hillside - Significant slope from side to side,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Old Town,Adjacent to feeder street,Within 200' of North-South Railroad,Single-family Detached,One story,Average,Good,1955,1995,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,180,Average Rec Room,645,0,825,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,825,0,0,825,1,0,1,0,2,1,Typical/Average,4,Typical Functionality,0,,Detached from home,1963.0,Rough Finished,2,720,Typical/Average,Typical/Average,Paved,140,50,0,0,0,0,,Minimum Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,125000
1074,2-STORY 1946 & NEWER,Residential Low Density,75.0,7950,Paved,,Slightly irregular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,Two story,Above Average,Above Average,1977,1977,Hip,Standard (Composite) Shingle,Hard Board,Plywood,Brick Face,140.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,535,Unfinshed,0,155,690,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,698,728,0,1426,0,0,1,1,3,1,Typical/Average,6,Typical Functionality,0,,Attached to home,1977.0,Finished,2,440,Typical/Average,Typical/Average,Paved,252,0,0,0,0,0,,Minimum Privacy,,0,7,2009,Warranty Deed - Conventional,Normal Sale,159500
175,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,47.0,12416,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Timberland,Normal,Normal,Single-family Detached,One story,Above Average,Average,1986,1986,Gable,Standard (Composite) Shingle,Vinyl Siding,Plywood,Stone,132.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Fair - dampness or some cracking or settling,No Exposure,Average Living Quarters,1398,Low Quality,208,0,1606,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1651,0,0,1651,1,0,2,0,3,1,Typical/Average,7,Minor Deductions 2,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1986.0,Finished,2,616,Typical/Average,Typical/Average,Paved,192,0,0,0,0,0,,,,0,11,2008,Warranty Deed - Conventional,Normal Sale,184000
515,1-1/2 STORY - UNFINISHED ALL AGES,Residential Low Density,55.0,10594,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Normal,Normal,Single-family Detached,One and one-half story: 2nd level unfinished,Average,Average,1926,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,768,768,Gravity furnace,Fair,No,Standard Circuit Breakers & Romex,789,0,0,789,0,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Detached from home,1926.0,Unfinished,1,200,Poor,Poor,Paved,0,0,112,0,0,0,,Minimum Privacy,,0,6,2007,Warranty Deed - Conventional,Normal Sale,96500
1351,DUPLEX - ALL STYLES AND AGES,Residential Low Density,91.0,11643,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Adjacent to arterial street,Normal,Duplex,Two story,Average,Average,1969,1969,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,368.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low Quality,500,Unfinshed,0,748,1248,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1338,1296,0,2634,1,1,2,2,6,2,Typical/Average,12,Typical Functionality,0,,Detached from home,1969.0,Unfinished,4,968,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,8,2009,Warranty Deed - Conventional,Normal Sale,200000
1146,1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,52.0,6240,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Normal,Normal,Single-family Detached,One and one-half story: 2nd level finished,Average,Above Average,1928,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1042,1042,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1042,534,0,1576,0,0,1,0,3,1,Typical/Average,8,Typical Functionality,1,Good - Masonry Fireplace in main level,Detached from home,1928.0,Unfinished,1,225,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,8,2006,Warranty Deed - Conventional,Sale between family members,149000
966,2-STORY 1946 & NEWER,Residential Low Density,65.0,10237,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Gilbert,Adjacent to North-South Railroad,Normal,Single-family Detached,Two story,Above Average,Average,2005,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,783,783,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,783,701,0,1484,0,0,2,1,3,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2005.0,Finished,2,393,Typical/Average,Typical/Average,Paved,0,72,0,0,0,0,,,,0,7,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),178900
937,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,67.0,10083,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Normal,Normal,Single-family Detached,One story,Good,Average,2003,2003,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,,,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Good Living Quarters,833,Unfinshed,0,343,1176,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1200,0,0,1200,1,0,2,0,2,1,Good,5,Typical Functionality,0,,Attached to home,2003.0,Rough Finished,2,555,Typical/Average,Typical/Average,Paved,0,41,0,0,0,0,,,,0,8,2009,Warranty Deed - Conventional,Normal Sale,184900
286,2-STORY PUD - 1946 & NEWER,Floating Village Residential,35.0,4251,Paved,Paved,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Townhouse End Unit,Two story,Good,Average,2006,2007,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,625,625,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,625,625,0,1250,0,0,2,1,2,1,Good,5,Typical Functionality,0,,Detached from home,2006.0,Rough Finished,2,528,Typical/Average,Typical/Average,Paved,0,54,0,0,0,0,,,,0,6,2007,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),164700
1311,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,100.0,17500,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Crawford,Adjacent to postive off-site feature,Normal,Single-family Detached,One story,Good,Very Good,1959,2002,Gable,Standard (Composite) Shingle,Brick Face,Hard Board,None,0.0,Good,Good,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,1406,Unfinshed,0,496,1902,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1902,0,0,1902,1,0,2,0,3,1,Excellent,7,Typical Functionality,2,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1959.0,Finished,2,567,Typical/Average,Typical/Average,Paved,0,207,162,0,0,0,,,,0,5,2010,Warranty Deed - Conventional,Normal Sale,335000
343,DUPLEX - ALL STYLES AND AGES,Residential Low Density,,8544,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Duplex,One story,Fair,Below Average,1949,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,Brick Face,340.0,Average/Typical,Average/Typical,Slab,,,,,0,,0,0,0,Wall furnace,Fair,No,Fuse Box over 60 AMP and all Romex wiring (Average),1040,0,0,1040,0,0,2,0,2,2,Typical/Average,6,Typical Functionality,0,,Detached from home,1949.0,Unfinished,2,400,Typical/Average,Typical/Average,Paved,0,0,0,0,0,0,,,,0,5,2006,Warranty Deed - Conventional,Normal Sale,87500
1166,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,79.0,9541,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,Single-family Detached,One story,Good,Average,2009,2009,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,268.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1502,1502,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1502,0,0,1502,0,0,2,0,3,1,Good,7,Typical Functionality,0,,Attached to home,2009.0,Rough Finished,2,644,Typical/Average,Typical/Average,Paved,0,114,0,0,0,0,,,,0,9,2009,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),233170
32,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,8544,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,One story,Average,Above Average,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Unfinshed,0,Unfinshed,0,1228,1228,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typical Functionality,0,,Attached to home,1966.0,Unfinished,1,271,Typical/Average,Typical/Average,Paved,0,65,0,0,0,0,,Minimum Privacy,,0,6,2008,Warranty Deed - Conventional,Normal Sale,149350
874,1-STORY W/FINISHED ATTIC ALL AGES,Residential Low Density,60.0,12144,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,Single-family Detached,One story,Average,Good,1949,1950,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Good,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,375,Unfinshed,0,457,832,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1036,0,232,1268,0,0,1,0,3,1,Typical/Average,6,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,1949.0,Unfinished,1,288,Typical/Average,Typical/Average,Paved,0,28,0,0,0,0,,,Other,0,9,2009,Warranty Deed - Conventional,Normal Sale,133000
211,1-STORY 1945 & OLDER,Residential Low Density,67.0,5604,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Edwards,Normal,Normal,Single-family Detached,One story,Average,Above Average,1925,1950,Gable,Standard (Composite) Shingle,Stucco,Stucco,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec Room,468,Unfinshed,0,396,864,Gas forced warm air furnace,Average/Typical,No,Fuse Box over 60 AMP and all Romex wiring (Average),864,0,0,864,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,,,,0,0,,,Paved,0,0,96,0,0,0,,,,0,4,2008,Warranty Deed - Conventional,Normal Sale,98000
925,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,79.0,10240,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northwest Ames,Normal,Normal,Single-family Detached,One story,Above Average,Above Average,1980,1980,Gable,Standard (Composite) Shingle,Plywood,Plywood,Brick Face,157.0,Average/Typical,Good,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,625,Low Quality,1061,0,1686,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1686,0,0,1686,1,0,2,0,3,1,Typical/Average,7,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1980.0,Unfinished,2,612,Typical/Average,Typical/Average,Paved,384,131,0,0,0,0,,,,0,5,2006,Warranty Deed - Conventional,Normal Sale,207500
406,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,,9991,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Sawyer,Adjacent to feeder street,Normal,Single-family Detached,One story,Below Average,Below Average,1976,1993,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,1116,Unfinshed,0,165,1281,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1620,0,0,1620,1,0,2,0,3,1,Typical/Average,8,Minor Deductions 1,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1993.0,Unfinished,2,490,Typical/Average,Typical/Average,Paved,120,78,0,0,0,0,,Good Wood,,0,6,2009,Warranty Deed - Conventional,Normal Sale,150000
771,SPLIT FOYER,Residential Low Density,,7252,Paved,,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Normal,Normal,Single-family Detached,Split Foyer,Average,Average,1982,1982,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Good (90-99 inches),Typical - slight dampness allowed,Average Exposure (split levels or foyers typically score average or above),Good Living Quarters,685,Unfinshed,0,173,858,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,858,0,0,858,1,0,1,0,2,1,Typical/Average,5,Typical Functionality,0,,Detached from home,1983.0,Unfinished,2,576,Typical/Average,Typical/Average,Paved,120,0,0,0,0,0,,,,0,4,2009,Warranty Deed - Conventional,Normal Sale,134900
382,1-STORY 1946 & NEWER ALL STYLES,Floating Village Residential,60.0,7200,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Somerset,Normal,Normal,Single-family Detached,One story,Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,No Exposure,Unfinshed,0,Unfinshed,0,1293,1293,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1301,0,0,1301,1,0,2,0,2,1,Good,5,Typical Functionality,1,Good - Masonry Fireplace in main level,Attached to home,2006.0,Rough Finished,2,572,Typical/Average,Typical/Average,Paved,216,121,0,0,0,0,,,,0,8,2006,Home just constructed and sold,Home was not completed when last assessed (associated with New Homes),187750
890,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,128.0,12160,Paved,,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Adjacent to feeder street,Normal,Single-family Detached,One story,Above Average,Below Average,1953,1953,Hip,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,90.0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living Quarters,1024,Unfinshed,0,481,1505,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1505,0,0,1505,1,0,1,0,2,1,Typical/Average,6,Typical Functionality,1,Average - Prefabricated Fireplace in main living area or Masonry Fireplace in basement,Attached to home,1953.0,Rough Finished,2,505,Typical/Average,Typical/Average,Paved,0,0,0,162,0,0,,,,0,2,2009,Warranty Deed - Conventional,Normal Sale,149500
